title,text,subject,date
Putin's advisers have stopped giving him bad news says report,Vladimir Putin does not get genuine information about setbacks in his invasion of Ukraine because his subordinates do not want to anger him it has been reported.The claim was made by the Telegram channel of VCHK-OGPU whose handle says it reports about "the secrets of officials oligarchs and gangsters" in RussiaIn a post on Sunday the channel cited a source "familiar with the situation" as saying that "bad news especially about the war was no longer reported to Putin "because it would make him "extremely annoyed.,news,2023-06-05
Will Putin ever be arrested by the ICC?,Questions are swirling over whether Russian President Vladimir Putin will attend the meetings of the BRICS bloc of developing economies in August in South Africa.Since March Putin has been wanted by the International Criminal Court for alleged war crimes. If he steps foot in South Africa — an ICC signatory country bound by the Rome Statute — the government is obligated to arrest him.On Wednesday however South Africa's deputy leader Obed Bapela said that Pretoria would move towards imposing a law that would give the government power to decide whether to arrest leaders wanted by the ICC.,news,2023-06-02
Vladimir Putin's Secret Mom Dies Aged 96: Inside Her Tormented Last Days After Decades of Tyrant Snubbing Her Existence,Home > News > Vladimir PutinSource: Mega; YouTubeJun. 2 2023 Published 11:00 a.m. ETThe woman who claimed to be Vladimir Putin's 'secret' mother for more than two decades passed away this week at the age of 96 RadarOnline.com has learned.Vera Putina reportedly passed away on Wednesday in the country of Georgia.Article continues below advertisementSource: MegaAccording to Telegraph Putina's death this week came more than 20 years after she first claimed she was the Russian president's biological mother in 1999.,news,2023-06-02
Putin labelled KGB 'errand boy' as claims of elite past in spy service exposed,Russian deepfake of Vladimir Putin declaring martial lawThis Morning editor avoids question and talks about auberginesUkrainian Armed Forces won't announce start of counter offensiveBrexit: Michel Barnier sends UK financial services warningGerman Chancellor Olaf Scholz's outburst over Ukraine supportRishi Sunak gives update on 'stop the boats' pledgeJamie Driscoll on being blocked from new roleTory MP brands defence procurement a 'scandal'Talk TV host Andre Walker loses temper with MizzyRobert Jenrick asked about Boris Johnson's WhatsAppsLaura Kuennsberg quizzes Jenrick about migration challengeUK hosts inaugural AUKUS AI and autonomy trialVladimir Putin has been branded an "errand boy" in a report claiming the Russian President did not have an elite role in the KGB spy service.,world,2023-06-06
On May 31 Vladimir Putin will hold a meeting with Government members,The discussion will focus on regionalinvestment policy and the implementation of roadmaps for improving the businessclimate. Reports on these issues will be given by First Deputy Prime MinisterAndrei Belousov and Governor of the Sakhalin Region – Chairman of the StateCouncil Commission on Investment Valery Limarenko. A number of current issues will also be discussed.  Page 2  On May 24–25 Vladimir Putin will take part in the Eurasian Economic Union summit in Moscow      On,news,2023-05-30
'Vladimir Putin biography': Vladimir Putin: A Brief Introduction,Vladimir Putin is a Russian politician who has been serving as the President of the Russian Federation since 2012. Prior to this he served as the Prime Minister of Russia from 1999 to 2000 and again from 2008 to 2012. Putin is considered to be one of the most powerful world leaders and has been the face of Russian politics for more than two decades.Early Life and CareerVladimir Vladimirovich Putin was born on October 7 1952 in Leningrad (now St. Petersburg) Russia. His father was a factory foreman and his mother was a factory worker.,news,2023-05-30
Here's Why Putin Hasn't Punished Wagner's Prigozhin: 'He Shares Same Characteristics As Trump',ReutersRet. Army Brig. Gen. Mark Kimmitt said Prigozhin and Trump are both 'belligerent' and 'loud'Kimmit also said that Putin sees Prigozhin as a potential political rival for the presidencyRussia is scheduled to hold a presidential election in March 2024A retired army general said Russian President Vladimir Putin has yet to punish Wagner chief Yevgeny Prigozhin because he has similar "characteristics" as former President Donald Trump according to a report.Over the past months Prigozhin has been very vocal about Russia's failures in the war in Ukraine.,news,2023-06-05
On June 1 Vladimir Putin will meet with families awarded the Order of Parental Glory,On June 1 International Children'sDay the President will meet with families awarded the Order of Parental Glory. Large families fromvarious Russian regions will take part in the meeting via videoconference. The Orderof Parental Glory is awarded to parents (adoptive parents) who are raising or have raised seven or more children providing proper care for their healtheducation and their physical spiritual and moral development. Page 2  On May 24–25 Vladimir Putin will take part in,news,2023-05-31
South Africa eyes virtual BRICS summit to dodge Putin arrest warrant,JOHANNESBURG — South Africa is considering hosting the headline meeting of leaders from BRICS nations entirely online to avoid Russian President Vladimir Putin participating in person people familiar with the matter told Semafor Africa.The International Criminal Court issued a warrant for Putin's arrest in March for alleged war crimes in Ukraine which South Africa as a member of the ICC is officially obliged to enforce. It's hosting the 2023 annual summit of the BRICS nations — Brazil Russia India China and South Africa — in late August to which Putin is invited.,news,2023-06-06
'Beginning of the End': Vladimir Putin 'Doomed' as Russian Civil War Looms on Horizon Russian Insiders Warn,Home > News > Vladimir PutinSource: MegaJun. 5 2023 Published 6:05 p.m. ETRussia is reportedly on the brink of civil war as a result of Vladimir Putin's disastrous war against Ukraine RadarOnline.com has learned.In a sudden development to come nearly 16 months after Russia first invaded Ukraine in February 2022 sources familiar with Russia's Kremlin elite revealed Putin could be 'ousted' from power due to his failed invasion.Article continues below advertisementSource: MegaAlso startling are reports that Putin may end up "dead' or 'in exile" if he does not succeed in his military campaign against Ukraine in the coming weeks and months.,news,2023-06-05
Putin's advisers stop giving him bad news as it makes him 'extremely annoyed',Advisers of Russia's despotic President Vladimir Putin have stopped giving him bad news because it makes him 'extremely annoyed'.The mad claim has come from a Russian insider Telegram channel called VCHK-OGPU.Citing a source 'familiar with the situation" all bad news has been banned from the Kremlin because of the way Putin reacts.And the war-mad leader even goes as far as blaming 'Western media' for the bad news instead of . . . you know . . . his own failings.The source claims: 'Putin reacted to reports about the real situation in something like this: in an annoyed manner.,news,2023-06-06
Putin Hiding Out After Panic ‘Behind the Scenes' of Moscow Drone Attack,Russia's Vladimir Putin is avoiding taking any trips out of the country because he no longer feels safe following repeated Ukrainian drone attacks and an arrest warrant from the International Criminal Court according to several new reports.On Wednesday Russian state media reported that Putin will not be attending Turkish President Tayyip Erdogan's inauguration sending State Duma chairman Vyacheslav Volodin instead.Nor will Putin be attending an upcoming summit of the Shanghai Cooperation Organization in India that was initially meant to be in-person.,news,2023-05-31
Increasingly Paranoid Putin Is So Terrified Of Being Assassinated,Allegedly world-famous-poison-happy or at least poison-approver Vladimir Putin is apparently descending deep into his own paranoia on that subject and more. We've previously heard that the Russian president forces people to test his food and that he has a personal pooper scooper who travels with him because he's paranoid about either health-issue discovery or DNA harvesting. As well an ex-Russian intelligence officer revealed that Putin is too 'pathologically afraid to touch the internet or use a cell phone.,news,2023-06-01
Putin Says Ukrainian ‘Terrorist Activity' Behind Moscow Drone Attack,Russian President Vladimir Putin blamed Tuesday's drone attack on Moscow and the surrounding region on 'terrorist activity' and called it an attempt to 'intimidate' ordinary Russians.'The Kyiv regime has chosen... the path of attempting to intimidate Russian citizens and striking residential buildings' the state-run TASS news agency quoted Putin as saying. 'We do not use the same means that are used by Ukrainian bigwigs. Another confirmation of this is the attack on civilian facilities in Moscow" Putin added.,news,2023-05-30
Putin Hiding Out After Panic ‘Behind the Scenes' of Moscow Drone Attack,Russia's Vladimir Putin is avoiding taking any trips out of the country because he no longer feels safe following repeated Ukrainian drone attacks and an arrest warrant from the International Criminal Court according to several new reports.On Wednesday Russian state media reported that Putin will not be attending Turkish President Tayyip Erdogan's inauguration sending State Duma chairman Vyacheslav Volodin instead. Nor will Putin be attending an upcoming summit of the Shanghai Cooperation Organization in India that was initially meant to be in-person.,news,2023-05-31
Zelenskyy and Putin plan to visit Türkiye soon,Ukrainian President Volodymyr Zelenskyy and the president of the aggressor country Vladimir Putin plan to visit Türkiye after the inauguration of Turkish leader Recep Tayyip Erdoğan on 3-4 June.Source: correspondent of the Turkish newspaper Hürriyet Hande Firat with reference to sourcesQuote: "Many foreign heads of state have provided information about participation in the ceremony [inauguration – ed.] on Saturday. Putin will visit Türkiye with a separate special visit. After Putin Ukrainian President Zelenskyy will come to Türkiye [as well].,news,2023-05-31
The Existential Question About Putin's Mercenary Boss,Yevgeny Prigozhin shouldn't have said 'grandfather.' But it slipped out. That was last month during one of his vulgar and lurid rants against the Russian top brass. Prigozhin the leader of the Wagner Group a private Russian military company was posing in warrior gear as a Slavic Rambo straddling the corpses of his fallen comrades and spitting expletives into the camera. He was demanding ammo from the Russian army for his Wagner mercenaries so he could finish the bloody siege for the Ukrainian city of Bakhmut.,news,2023-06-02
As NATO gets stronger CTSO crumbles,CTSO the Russian block counter to NATO is showing signs of crumbling as members refuse to support Putin in his invasion of Ukraine. Armenia is a member of the Russia-led Collective Security Treaty Organization (CSTO) alongside Kazakhstan Belarus Kyrgyzstan and Tajikistan. That invasion is sure working out for Putin    .Joe Biden: I don't have to beat the Almighty I only have to beat the alternative                                  CTSO the Russian block counter to NATO is showing signs of crumbling as members refuse to support Putin in his invasion of Ukraine.,news,2023-06-05
Woman who claimed to be Vladimir Putin's secret MOTHER dies aged 97,Published:  15:46 EDT 1 June 2023   |  Updated:  15:46 EDT 1 June 2023   A woman who claimed for years to be the secret mother of Vladimir Putin has died in poverty age 97 it was revealed today.Vera Putina for decades said the Russian President was her son born to her after she had an affair with a married man.The dictator has never publicly acknowledged these claims despite the woman producing pictures of her son which showed an uncanny resemblance to the now 70-year-old Russian leader.,news,2023-06-01
Meet the man who may succeed Putin,As America kicks off its 2024 presidential campaign Russia will soon follow suit with a vote for its top leader scheduled for March of next year. Russian President Vladmir Putin may not yet have announced he's seeking another term but an internal Kremlin electoral group is working on the assumption that Vlad will be running according to the Russian business daily Kommersant which cited sources close to Putin's administration.But Russian presidential elections are not exactly like those in the US.,news,2023-06-03
Winde's comment about arresting Putin is like telling people a 'springbok will eat the lion',Police Minister Bheki Cele.   Bheki Cele responded to Alan Winde's comments that Vladimir Putin will be arrested if he sets foot in the Western Cape. Cele said this was like telling people that a springbok can eat a lion. In March the ICC issued an arrest warrant for Putin.Western Cape Premier Alan Winde's statement about arresting Russia's President Vladimir Putin if he sets foot in the province is like telling people that a springbok will eat a lion.This was the opinion of Police Minister Bheki Cele in response to Winde's assertion last month that the Western Cape will set its law enforcement officers on Putin.,news,2023-05-30
After arrest warrant Putin is stuck in Russia: he is not going to Erdogan's inauguration either,Russian President Vladimir Putin has not left Russia after the International Criminal Court issued an arrest warrant. State Duma Speaker Viacheslav Volodin will go to the inauguration of Recep Tayyip Erdogan instead.Source: Russian state-owned news agency RIA Novosti referring to presidential aide Yurii UshakovDetails: Türkiye's current president Erdogan won the election and will remain in office for another presidential term.Typically leaders from various countries are invited to his inauguration.,news,2023-05-31
Report: Secretive Real Estate Holdings On Moscow's Outskirts Linked To Putin Family,report this ad     report this ad    By RFE/RL June 02 2023Family members of Russian President Vladimir Putin quietly acquired several plots of real estate in Moscow's tony western suburbs near his residence where a series of luxury homes have been built a new investigation found.The findings by the Russian news site Proyekt were the latest documenting what some experts believe is a vast secretive and lucrative network of assets linked to Putin his allies and his family.,tech,2023-06-03
Russian infighting could be fatal for Vladimir Putin,6 June 2023Infighting within the Russian military could spell the end for Vladimir Putin.Russian infighting could put Vladimir Putin at risk Luke Coffey an expert at the Hudson Institute think tank in Washington has argued that the tyrant could be ousted from power as a result of divisions between Russian troops and his warlords.Coffey also expects Russia to "break-up" should the nation fall to defeat in the war with Ukraine.He said: "This is the beginning of the end of Putin - the trajectory now is towards Putin being ousted and the further break-up of the Russian Federation.,news,2023-06-06
Putin Hiding Out After Panic ‘Behind the Scenes' of Moscow Drone Attack,Russia's Vladimir Putin is avoiding taking any trips out of the country because he no longer feels safe following repeated Ukrainian drone attacks and an arrest warrant from the International Criminal Court according to several new reports.On Wednesday Russian state media reported that Putin will not be attending Turkish President Tayyip Erdogan's inauguration sending State Duma chairman Vyacheslav Volodin instead.Load ErrorNor will Putin be attending an upcoming summit of the Shanghai Cooperation Organization in India that was initially meant to be in-person.,world,2023-05-31
DA launches court bid to compel the arrest of Vladimir Putin,The Democratic Alliance (DA) has launched a court application in the Gauteng High Court in Pretoria requesting a declaratory order to have Russia President Vladimir Putin when he arrives in South Africa to attend the BRICS summit.The International Crime Court (ICC) has issued a warrant of arrest for Putin and the DA wants the South African government to immediately detain and surrender President Putin to the ICC. The DA said it is launching this action to avoid a repeat of the Al-Bashir saga when the South African government failed to uphold its duty to make an arrest in 2015.,news,2023-05-31
PICS: Billboard calling for Ramaphosa to arrest Putin erected near Centurion,A billboard along a highway in Centurion simply reads 'President Ramaphosa arrest Putin' ahead of the BRICS summit set to take place in Johannesburg in August.  JOHANNESBURG - While government continues to deliberate its legal options on Russian President Vladimir Putin's visit to South Africa in August for the BRICS summit an NGO has put up a billboard calling for his arrest. A billboard was erected near Centurion at the end of May by Avaaz calling for President Cyril Ramaphosa to arrest Putin.,news,2023-06-02
Russia hit by ‘major hack' as Putin appears to announce ‘invasion by Ukraine',Millions of Russians were left petrified of a full-scale attack by Ukraine on Monday as an unknown assailant 'hacked' the Russian media and broadcast a deep fake message from Vladimir Putin in which the autocrat appeared to declare martial law. First appearing as a radio broadcast a video message purporting to show the Russian autocrat later found its way onto the nation's state media with dozens of clips of the emergency appeal reposted around social media.In the message Putin said Ukrainian troops had 'entered the territories of Kursk Belgorod and Bryansk' all of which border eastern Ukraine and that he was declaring martial law.,world,2023-06-05
